sample_id,actual_value,classification,behavior_summary,implementation_evidence,external_evidence,justification,inconclusive_reason
S014,true,CORRECT,"delete_file removes a file with os.Remove or a directory tree with os.RemoveAll.","filesystemserver/handler/delete_file.go:81-119",,"A successful path deletes pre-existing filesystem state, so actual destructiveHint is true and matches the omission default.",
S015,false,CONSERVATIVE_IMPRECISE,"conversations_join calls Slack's join-conversation operation and adds the authenticated user to a channel.","pkg/handler/conversations.go:1416-1436; pkg/provider/api.go:411-413",,"The mutation is exclusively additive membership, so actual destructiveHint is false. Explicit false would materially reduce destructive-operation treatment while the true default is conservative.",
S016,false,CONSERVATIVE_IMPRECISE,"read_file validates, stats, and reads a file before returning its content, without any write path.","filesystemserver/handler/read_file.go:39-214",,"The implementation is read-only and has no destructive effect. Explicit destructiveHint false would materially improve approval handling over the conservative true default.",
S017,true,CORRECT,"mark_all_notifications_read sends a timestamped GitHub operation that changes existing notification read state.","pkg/github/notifications.go:241-330",,"Changing unread notifications to read alters pre-existing state, so actual destructiveHint is true under the frozen definition and matches the omission default.",
S018,true,CORRECT,"modify_file reads an existing file, replaces requested text, and writes the modified content back.","filesystemserver/handler/modify_file.go:103-165",,"A successful path overwrites pre-existing file content, so actual destructiveHint is true and matches the omission default.",
S019,false,CONSERVATIVE_IMPRECISE,"extract reads supplied HTML, cached HTML, or fetched page HTML and derives structured output without deleting or overwriting state.","src/tools/extract.ts:320-356,359-520",,"No supported path performs a destructive mutation. Explicit destructiveHint false would materially improve risk presentation over the conservative true default.",
S020,false,CONSERVATIVE_IMPRECISE,"search_within_files walks allowed paths, opens files, scans their content, and returns matches without writing.","filesystemserver/handler/search_within_files.go:212-313",,"The implementation is read-only and has no destructive effect. Explicit destructiveHint false would materially improve approval handling over the conservative true default.",
S021,false,CORRECT,"browser_navigate_back calls page.goBack; repeated identical calls can traverse successive history entries and change browser state again.","package-lock.json:958-961; installed locked playwright-core/lib/coreBundle.js:66527-66565",,"A same-argument repetition can perform an additional navigation, so actual idempotentHint is false and matches the omission default.",
S022,false,CORRECT,"dbx_open_session generates a new UUID and inserts a new active session on each successful invocation.","crates/dbx-mcp/src/server.rs:395-423; crates/dbx-mcp/src/session.rs:64-87",,"Repeating identical arguments creates another session, so actual idempotentHint is false and matches the omission default.",
S023,true,CONSERVATIVE_IMPRECISE,"search_files walks the filesystem and collects matching paths without mutating environmental state.","filesystemserver/handler/search_files.go:138-163",,"A read-only call adds no effect when repeated. Explicit idempotentHint true would materially enable safe retry behavior over the conservative false default.",
S024,false,CORRECT,"fetch supports browser click/type actions and can also refresh its user-visible cache; repeated identical calls can re-trigger actions or refresh state again.","src/tools/fetch.ts:169-340; src/fetch/action-executor.ts:23-117; src/cache/store.ts:91-135",,"At least one supported same-argument repetition can add an external action or cache effect, so aggregate actual idempotentHint is false and matches the omission default.",
S025,true,CONSERVATIVE_IMPRECISE,"Each action sets a repository subscription to a fixed watch/ignore state with PUT or removes that single subscription with DELETE.","pkg/github/notifications.go:504-602; go.mod:8; google/go-github activity_watching.go:115-158","https://docs.github.com/en/rest/activity/watching (accessed 2026-08-08)","After one successful call, the same arguments add no further subscription-state effect; a repeat error after deletion does not defeat idempotence under the protocol. Explicit true would materially enable retry handling.",
S026,true,CONSERVATIVE_IMPRECISE,"reactions_remove removes the caller's named reaction from one Slack item; when absent, Slack returns no_reaction rather than removing anything else.","pkg/handler/conversations.go:323-356; pkg/provider/api.go:540-542","https://docs.slack.dev/reference/methods/reactions.remove/ (accessed 2026-08-08)","After the first removal, repetition adds no environmental effect; the possible no_reaction error does not defeat idempotence under the protocol. Explicit true would materially enable retry handling.",
S027,unknown,INCONCLUSIVE,"The generated tool forwards a PATCH that can set title or description and update data-source property schemas.","scripts/notion-openapi.json:1816-1863; src/openapi-mcp-server/mcp/proxy.ts:195-241; src/openapi-mcp-server/client/http-client.ts:156-230","https://developers.notion.com/reference/update-a-data-source; https://developers.notion.com/reference/update-data-source-properties (accessed 2026-08-08)","The implementation and first-party contract establish assignment-like updates but do not establish all observable effects of an identical repeat.","The evidence does not say whether a no-op repeated PATCH changes service metadata, emits another event, or is otherwise deduplicated; inferring idempotence from PATCH alone is disallowed."
S028,unknown,INCONCLUSIVE,"The tool combines fixed-field PATCH updates, guarded draft-state GraphQL mutations, and optional reviewer-request calls.","pkg/github/pullrequests.go:930-1172; go.mod:8; google/go-github pulls.go:345-390","https://docs.github.com/en/rest/pulls/pulls#update-a-pull-request (accessed 2026-08-08)","Most branches look assignment-like, but the aggregate tool includes reviewer requests and remote API effects whose identical-repeat behavior is not established.","Pinned source and the first-party contract do not establish whether repeated no-op edits or repeated reviewer requests generate additional notifications/events."
S029,true,CONSERVATIVE_IMPRECISE,"create_branch resolves a source SHA and asks GitHub to create one fixed, uniquely named ref; once that ref exists, the same create cannot add another ref.","pkg/github/repositories.go:1236-1347; go.mod:8; google/go-github git_refs.go:111-140","https://docs.github.com/en/rest/git/refs#create-a-reference (accessed 2026-08-08)","After successful creation, repeating the same arguments can only target the already-existing ref; conflict/validation failure does not defeat idempotence under the protocol. Explicit true would materially enable safe retry handling.",
S030,unknown,INCONCLUSIVE,"The tool POSTs a new pull request and may then request reviewers, with no local deduplication or idempotency key.","pkg/github/pullrequests.go:650-857; go.mod:8; google/go-github pulls.go:261-299","https://docs.github.com/en/rest/pulls/pulls#create-a-pull-request (accessed 2026-08-08)","The implementation establishes resource creation but not the effect of an identical repeat after the first success.","The first-party contract lists creation and generic validation outcomes but does not specify whether identical head/base requests are rejected, coalesced, or can create another pull request; POST alone is insufficient."
S031,true,CORRECT,"dbx_list_tables delegates to a backend that ensures an external database connection and issues DBX/database service requests.","crates/dbx-mcp/src/server.rs:252-283; crates/dbx-mcp/src/backend.rs:714-762",,"At least one ordinary supported configuration communicates with an externally hosted database/service, so actual openWorldHint is true and matches the omission default.",
S032,true,CORRECT,"The generated tool executes Notion's GET /v1/users operation against the configured Notion API.","scripts/notion-openapi.json:350-405; src/openapi-mcp-server/mcp/proxy.ts:195-241; src/openapi-mcp-server/client/http-client.ts:156-230",,"It obtains content from a remote SaaS API, so actual openWorldHint is true and matches the omission default.",
S033,false,CONSERVATIVE_IMPRECISE,"write_file creates parent directories and writes a server-local file inside the configured allowed filesystem domain.","filesystemserver/handler/write_file.go:69-83",,"The implementation interacts only with server-controlled local files, so actual openWorldHint is false. Explicit false would materially improve trust-boundary handling over the conservative true default.",
S034,true,CORRECT,"get_team_members obtains a GitHub GraphQL client and queries a remote organization's team membership.","pkg/github/context_tools.go:229-301",,"It obtains content from the remote GitHub service, so actual openWorldHint is true and matches the omission default.",
S035,true,CORRECT,"crawl fetches a caller-supplied seed URL and discovered pages through the fetch/router pipeline.","src/tools/crawl.ts:34-91",,"A supported path communicates with arbitrary web entities, so actual openWorldHint is true and matches the omission default.",
S036,true,CORRECT,"conversations_unreads queries Slack for remote conversation, count, and muted-channel state.","pkg/handler/conversations.go:657-696; pkg/provider/api.go:415-513",,"It obtains content from the remote Slack service, so actual openWorldHint is true and matches the omission default.",
S037,true,CORRECT,"manage_notification_subscription invokes GitHub's remote thread-subscription set or delete operations.","pkg/github/notifications.go:408-495",,"Every successful action communicates with the remote GitHub service, so actual openWorldHint is true and matches the omission default.",
S038,true,CORRECT,"search_issues obtains a GitHub client and invokes the remote issue-search endpoint.","pkg/github/issues.go:1627-1711,2023-2070",,"It obtains content from the remote GitHub service, so actual openWorldHint is true and matches the omission default.",
S039,true,CORRECT,"delete_file reads GitHub refs and commits, creates replacement Git objects, and updates the remote branch ref.","pkg/github/repositories.go:1052-1233",,"It communicates with and mutates the remote GitHub service, so actual openWorldHint is true and matches the omission default.",
S040,true,CORRECT,"dismiss_notification calls GitHub to mark a remote notification thread read or done.","pkg/github/notifications.go:165-239",,"It communicates with the remote GitHub service, so actual openWorldHint is true and matches the omission default.",
